PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance
PO-00061,DeltaWorks,2023-07-06,,Machinery,Pending,289,2471.03,2230.6,62,Compliant
PO-00062,GammaTrade,2023-05-13,2023-06-14,Machinery,Delivered,182,2443.06,2363.42,10,Compliant
PO-00063,EpsilonMfg,2022-01-28,2022-02-05,Consumables,Delivered,313,18.1,16.08,0,Compliant
PO-00064,BetaCorp,2022-09-24,2022-10-22,Raw Materials,Delivered,118,126.92,118.78,12,Compliant
PO-00065,DeltaWorks,2024-05-04,,Electronics,Cancelled,19,574.7,553.21,0,Non-Compliant
PO-00066,BetaCorp,2024-03-10,2024-04-14,Raw Materials,Partial,30,142.02,125.52,0,Compliant
PO-00067,BetaCorp,2022-05-10,2022-05-30,Packaging,Delivered,68,35.97,33.36,4,Compliant
PO-00068,EpsilonMfg,2024-02-05,2024-03-02,Consumables,Delivered,408,21.15,19.15,0,Compliant
PO-00069,DeltaWorks,2024-01-03,2024-03-03,Machinery,Partial,313,2567.16,2444.45,18,Non-Compliant
PO-00070,GammaTrade,2024-04-04,2024-05-03,Consumables,Delivered,299,21.42,20.54,12,Compliant
PO-00071,GammaTrade,2024-05-19,2024-06-18,Raw Materials,Delivered,260,144.13,134.36,13,Compliant
PO-00072,DeltaWorks,2024-01-22,2024-03-03,Packaging,Delivered,343,41.01,37.85,63,Compliant
PO-00073,EpsilonMfg,2022-11-27,2022-12-21,Electronics,Delivered,435,514.59,459.68,7,Compliant
PO-00074,EpsilonMfg,2022-12-11,2023-01-18,Machinery,Delivered,445,2365.5,2288.38,1,Compliant
PO-00075,EpsilonMfg,2023-07-24,2023-08-15,Electronics,Delivered,495,541.18,524.46,7,Compliant
PO-00076,DeltaWorks,2023-04-04,2023-05-06,Machinery,Delivered,57,2423.05,2177.35,9,Compliant
PO-00077,DeltaWorks,2023-06-28,2023-07-27,Consumables,Delivered,391,20.18,18.95,65,Compliant
PO-00078,AlphaSupplies,2022-11-20,2022-12-21,Packaging,Partial,284,37.47,35.94,2,Compliant
PO-00079,GammaTrade,2024-02-18,,Consumables,Cancelled,154,21.21,19.57,10,Compliant
PO-00080,GammaTrade,2022-11-06,2022-11-15,Packaging,Delivered,283,37.36,36.19,22,Compliant
PO-00081,BetaCorp,2022-04-16,2022-05-23,Machinery,Delivered,303,2249.25,2005.21,18,Compliant
PO-00082,DeltaWorks,2024-04-21,2024-05-01,Raw Materials,Delivered,261,143.28,138.14,9,Non-Compliant
PO-00083,AlphaSupplies,2022-05-02,2022-05-23,Packaging,Delivered,223,35.9,33.02,6,Compliant
PO-00084,GammaTrade,2023-03-16,2023-03-29,Consumables,Delivered,327,19.75,18.61,24,Compliant
PO-00085,AlphaSupplies,2022-09-03,2022-10-06,Packaging,Delivered,48,36.86,35.18,0,Compliant
PO-00086,BetaCorp,2023-12-25,2024-01-15,Electronics,Delivered,450,559.05,528.08,58,Compliant
PO-00087,BetaCorp,2022-04-28,2022-05-22,Machinery,Delivered,341,2254.95,2076.81,39,Compliant
PO-00088,GammaTrade,2024-02-06,2024-02-20,Consumables,Delivered,481,21.16,18.96,18,Compliant
PO-00089,GammaTrade,2023-07-07,,Consumables,Delivered,51,20.22,18.72,2,Compliant
PO-00090,BetaCorp,2023-08-25,2023-09-18,Consumables,Delivered,401,20.43,18.07,32,Compliant
PO-00091,EpsilonMfg,2022-10-12,2022-11-19,Machinery,Delivered,309,2335.76,2227.61,5,Compliant
PO-00092,GammaTrade,2024-05-28,2024-06-22,Raw Materials,Delivered,220,144.4,137.97,11,Compliant
PO-00093,AlphaSupplies,2022-04-01,,Machinery,Delivered,175,2242.15,2111.43,6,Compliant
PO-00094,EpsilonMfg,2023-02-28,2023-04-07,Machinery,Delivered,275,2405.24,2321.3,3,Compliant
PO-00095,EpsilonMfg,2022-10-22,2022-10-30,Packaging,Delivered,367,37.24,34.66,7,Compliant
PO-00096,BetaCorp,2023-07-19,2023-08-02,Electronics,Delivered,218,540.61,523.74,14,Compliant
PO-00097,DeltaWorks,2023-06-06,,Electronics,Pending,222,535.74,485.65,52,Compliant
PO-00098,EpsilonMfg,2023-01-28,2023-02-12,Packaging,Delivered,316,38.02,36.23,5,Compliant
PO-00099,DeltaWorks,2024-03-17,2024-04-12,Electronics,Delivered,430,568.92,525.85,86,Compliant
PO-00100,BetaCorp,2023-07-06,2023-08-16,Machinery,Delivered,180,2471.03,2289.16,9,Non-Compliant
PO-00101,BetaCorp,2023-01-28,2023-02-24,Consumables,Delivered,407,19.55,18.55,42,Compliant
PO-00102,DeltaWorks,2023-05-23,2023-07-06,Packaging,Delivered,74,38.95,34.4,5,Compliant
PO-00103,AlphaSupplies,2023-04-13,2023-04-29,Consumables,Delivered,83,19.86,19.24,0,Compliant
PO-00104,EpsilonMfg,2023-10-28,2023-12-08,Machinery,Delivered,178,2531.15,2436.99,1,Compliant
PO-00105,DeltaWorks,2022-02-06,2022-03-16,Consumables,Partial,130,18.14,16.59,31,Non-Compliant
PO-00106,DeltaWorks,2024-02-18,2024-03-06,Raw Materials,Delivered,456,141.39,129.09,75,Non-Compliant
PO-00107,AlphaSupplies,2023-01-03,2023-02-05,Electronics,Delivered,84,518.62,485.58,1,Compliant
PO-00108,AlphaSupplies,2024-06-10,2024-07-24,Consumables,Delivered,359,21.72,20.32,2,Compliant
PO-00109,GammaTrade,2024-04-03,2024-04-20,Raw Materials,Delivered,157,142.74,132.48,0,Non-Compliant
PO-00110,GammaTrade,2023-12-08,2024-01-08,Machinery,Delivered,442,2553.13,2419.09,30,Compliant
PO-00111,GammaTrade,2022-10-30,2022-12-01,Consumables,Delivered,161,19.18,16.89,3,Compliant
PO-00112,AlphaSupplies,2024-02-03,2024-03-08,Consumables,Partial,472,21.14,19.56,11,Compliant
PO-00113,BetaCorp,2022-09-14,2022-10-12,Consumables,Partial,379,19.0,17.27,33,Non-Compliant
PO-00114,AlphaSupplies,2024-03-18,2024-04-02,Electronics,Delivered,306,569.04,529.38,1,Compliant
PO-00115,BetaCorp,2022-05-16,,Packaging,Pending,458,36.01,32.38,34,Non-Compliant
PO-00116,BetaCorp,2024-04-24,2024-05-22,Electronics,Delivered,422,573.49,507.54,47,Compliant
PO-00117,BetaCorp,2024-05-16,2024-06-17,Machinery,Delivered,197,2640.73,2370.32,0,Compliant
PO-00118,GammaTrade,2023-01-26,2023-02-16,Consumables,Delivered,491,19.54,17.51,18,Compliant
PO-00119,GammaTrade,2022-08-15,2022-09-10,Consumables,Delivered,335,18.88,17.21,17,Compliant
PO-00120,AlphaSupplies,2023-05-20,2023-06-04,Electronics,Delivered,130,533.82,512.2,2,Compliant
PO-00121,EpsilonMfg,2023-08-25,2023-09-07,Machinery,Delivered,89,2497.22,2255.49,1,Compliant
PO-00122,GammaTrade,2023-12-08,2023-12-30,Raw Materials,Delivered,237,139.26,130.44,16,Compliant
PO-00123,EpsilonMfg,2022-03-04,2022-04-22,Electronics,Partial,107,486.32,454.32,0,Compliant
PO-00124,EpsilonMfg,2022-02-21,2022-04-18,Raw Materials,Partial,134,121.3,109.07,0,Compliant
PO-00125,EpsilonMfg,2023-08-24,2023-09-09,Packaging,Delivered,455,39.72,37.76,7,Compliant
PO-00126,BetaCorp,2023-07-08,2023-07-16,Packaging,Delivered,99,39.33,37.26,1,Compliant
PO-00127,EpsilonMfg,2022-01-17,2022-02-19,Electronics,Delivered,36,481.62,459.61,0,Compliant
PO-00128,GammaTrade,2023-08-31,2023-09-09,Consumables,Delivered,267,20.46,19.65,15,Non-Compliant
PO-00129,GammaTrade,2023-10-21,,Machinery,Cancelled,41,2527.42,2232.22,2,Compliant
PO-00130,AlphaSupplies,2023-12-31,2024-01-27,Machinery,Delivered,47,2565.54,2278.46,1,Compliant
PO-00131,EpsilonMfg,2023-12-31,2024-02-05,Consumables,Delivered,315,20.99,19.75,3,Compliant
PO-00132,AlphaSupplies,2024-01-09,2024-01-30,Consumables,Delivered,230,21.03,18.76,3,Compliant
PO-00133,AlphaSupplies,2023-03-14,2023-03-30,Electronics,Delivered,140,526.33,495.75,3,Compliant
PO-00134,AlphaSupplies,2023-03-19,2023-04-03,Raw Materials,Delivered,388,131.72,126.62,8,Compliant
PO-00135,GammaTrade,2023-02-25,2023-04-13,Raw Materials,Partial,350,131.11,123.01,24,Compliant
PO-00136,GammaTrade,2022-11-16,2022-12-02,Consumables,Delivered,305,19.25,18.06,16,Compliant
PO-00137,EpsilonMfg,2022-04-28,2022-06-01,Electronics,Delivered,303,491.99,443.48,5,Compliant
PO-00138,EpsilonMfg,2022-01-27,2022-02-20,Consumables,Delivered,346,18.1,16.57,0,Compliant
PO-00139,GammaTrade,2022-01-07,2022-02-08,Electronics,Delivered,83,480.61,458.36,0,Compliant
PO-00140,AlphaSupplies,2022-08-09,2022-09-08,Consumables,Delivered,242,18.85,17.65,3,Compliant
PO-00141,EpsilonMfg,2024-06-23,2024-07-03,Raw Materials,Delivered,90,145.2,140.16,1,Compliant
PO-00142,DeltaWorks,2023-03-29,,Consumables,Pending,120,19.8,18.47,3,Compliant
PO-00143,GammaTrade,2023-05-14,2023-06-15,Consumables,Delivered,167,19.99,18.44,13,Compliant
PO-00144,BetaCorp,2024-02-22,2024-03-31,Packaging,Delivered,177,41.27,39.08,18,Compliant
PO-00145,BetaCorp,2023-07-27,,Consumables,Delivered,422,20.31,18.18,50,Compliant
PO-00146,AlphaSupplies,2023-08-13,2023-09-15,Electronics,Delivered,217,543.47,506.19,2,Compliant
PO-00147,BetaCorp,2023-04-17,2023-05-21,Consumables,Delivered,480,19.88,17.79,56,Compliant
PO-00148,EpsilonMfg,2023-02-10,2023-03-10,Raw Materials,Delivered,391,130.7,116.55,6,Compliant
PO-00149,EpsilonMfg,2022-07-18,2022-08-03,Consumables,Delivered,188,18.77,16.68,0,Compliant
PO-00150,EpsilonMfg,2024-02-18,2024-03-27,Packaging,Delivered,48,41.24,37.19,0,Compliant
PO-00151,EpsilonMfg,2022-11-27,2023-01-01,Consumables,Delivered,331,19.3,17.22,0,Compliant
PO-00152,GammaTrade,2022-02-27,2022-04-03,Consumables,Delivered,47,18.22,17.1,0,Compliant
PO-00153,AlphaSupplies,2023-09-01,2023-09-10,Consumables,Delivered,246,20.46,18.91,4,Compliant
PO-00154,GammaTrade,2023-05-03,2023-05-16,Consumables,Delivered,500,19.95,18.45,32,Compliant
PO-00155,AlphaSupplies,2023-10-24,2023-11-28,Consumables,Delivered,136,20.69,19.75,2,Compliant
PO-00156,GammaTrade,2023-02-23,2023-03-23,Machinery,Delivered,357,2402.7,2163.15,1,Compliant
PO-00157,GammaTrade,2024-01-12,2024-01-28,Electronics,Delivered,474,561.17,501.35,12,Compliant
PO-00158,GammaTrade,2023-11-03,2023-11-15,Electronics,Delivered,210,552.95,501.58,5,Compliant
PO-00159,BetaCorp,2022-04-06,2022-04-14,Consumables,Delivered,226,18.36,16.74,11,Compliant
PO-00160,DeltaWorks,2022-08-20,2022-09-02,Packaging,Delivered,89,36.75,32.34,10,Compliant
PO-00161,EpsilonMfg,2023-11-09,2023-12-24,Raw Materials,Delivered,402,138.41,130.06,3,Compliant
PO-00162,EpsilonMfg,2024-01-09,2024-01-31,Packaging,Delivered,220,40.89,38.05,4,Compliant
PO-00163,DeltaWorks,2023-07-01,,Packaging,Pending,424,39.27,37.25,91,Compliant
PO-00164,EpsilonMfg,2023-04-18,2023-05-28,Machinery,Delivered,408,2430.21,2189.13,3,Compliant
PO-00165,EpsilonMfg,2024-06-12,2024-07-12,Packaging,Delivered,338,42.25,40.03,3,Compliant
PO-00166,AlphaSupplies,2022-03-27,2022-05-05,Electronics,Delivered,149,488.68,440.45,0,Compliant
PO-00167,BetaCorp,2024-06-24,2024-07-26,Machinery,Delivered,23,2662.53,2498.78,1,Compliant
PO-00168,GammaTrade,2022-01-29,2022-02-26,Packaging,Delivered,60,35.21,33.14,3,Compliant
PO-00169,DeltaWorks,2024-02-17,2024-03-13,Packaging,Partial,239,41.23,37.37,1,Compliant
PO-00170,BetaCorp,2024-01-15,2024-02-09,Consumables,Delivered,226,21.06,19.27,7,Compliant
PO-00171,EpsilonMfg,2022-03-06,2022-04-16,Machinery,Delivered,473,2229.89,2140.69,0,Compliant
PO-00172,BetaCorp,2023-03-16,2023-04-18,Electronics,Delivered,190,526.55,510.7,4,Compliant
PO-00173,GammaTrade,2023-06-23,,Raw Materials,Cancelled,412,134.41,123.79,18,Compliant
PO-00174,DeltaWorks,2023-10-13,2023-10-21,Raw Materials,Delivered,201,137.63,128.71,17,Compliant
PO-00175,AlphaSupplies,2024-01-23,2024-03-04,Consumables,Delivered,78,21.09,19.02,1,Compliant
PO-00176,DeltaWorks,2023-10-09,2023-11-14,Machinery,Delivered,79,2521.03,2404.05,0,Compliant
PO-00177,AlphaSupplies,2022-11-14,2022-12-07,Electronics,Delivered,427,513.18,473.97,0,Compliant
PO-00178,AlphaSupplies,2022-10-07,2022-11-08,Electronics,Delivered,198,509.08,488.11,5,Compliant
PO-00179,BetaCorp,2023-12-10,2024-01-16,Machinery,Partial,483,2554.2,2363.15,54,Compliant
PO-00180,AlphaSupplies,2023-09-09,2023-10-06,Machinery,Delivered,102,2505.13,2205.52,0,Compliant
PO-00181,DeltaWorks,2024-01-05,2024-02-09,Consumables,Delivered,363,21.01,19.57,3,Non-Compliant
PO-00182,DeltaWorks,2023-10-17,2023-11-18,Electronics,Delivered,495,550.97,485.85,43,Non-Compliant
PO-00183,AlphaSupplies,2024-05-19,2024-06-03,Packaging,Delivered,410,42.04,38.48,1,Compliant
PO-00184,DeltaWorks,2022-02-03,2022-03-05,Consumables,Delivered,357,18.13,16.6,31,Non-Compliant
PO-00185,EpsilonMfg,2023-02-12,2023-02-26,Electronics,Delivered,152,523.01,492.52,0,Compliant
PO-00186,EpsilonMfg,2022-09-26,2022-10-21,Raw Materials,Delivered,370,126.98,114.32,5,Non-Compliant
PO-00187,BetaCorp,2023-04-08,2023-04-20,Raw Materials,Delivered,375,132.28,126.26,42,Non-Compliant
PO-00188,GammaTrade,2023-07-18,2023-08-04,Raw Materials,Delivered,466,135.13,124.48,26,Non-Compliant
PO-00189,GammaTrade,2022-08-18,2022-09-09,Consumables,Delivered,112,18.89,18.12,7,Compliant
PO-00190,GammaTrade,2024-04-02,2024-04-14,Machinery,Delivered,76,2616.34,2306.3,0,Compliant
PO-00191,DeltaWorks,2023-02-25,2023-03-12,Consumables,Delivered,431,19.67,17.72,100,Compliant
PO-00192,EpsilonMfg,2022-05-12,2022-06-25,Electronics,Delivered,409,493.44,439.66,1,Compliant
PO-00193,AlphaSupplies,2023-06-15,2023-07-06,Raw Materials,Delivered,94,134.19,128.31,1,Compliant
PO-00194,AlphaSupplies,2022-07-21,2022-08-16,Electronics,Delivered,292,500.78,457.11,7,Compliant
PO-00195,EpsilonMfg,2022-06-07,2022-07-22,Consumables,Delivered,329,18.61,17.77,2,Compliant
PO-00196,AlphaSupplies,2022-02-16,2022-03-08,Raw Materials,Delivered,404,121.17,107.19,12,Compliant
PO-00197,DeltaWorks,2022-10-24,2022-11-25,Consumables,Delivered,164,19.16,17.48,11,Compliant
PO-00198,DeltaWorks,2023-05-11,2023-06-20,Machinery,Partial,184,2442.03,2266.69,38,Compliant
PO-00199,GammaTrade,2022-05-14,2022-06-10,Machinery,Delivered,273,2262.57,2039.71,5,Compliant
PO-00200,BetaCorp,2022-02-21,,Raw Materials,Cancelled,206,121.3,114.5,12,Non-Compliant
PO-00201,BetaCorp,2023-08-15,2023-10-05,Electronics,Partial,107,543.7,492.1,14,Compliant
PO-00202,GammaTrade,2022-01-24,2022-02-15,Machinery,Delivered,211,2210.7,2126.47,3,Compliant
PO-00203,DeltaWorks,2024-06-22,2024-08-02,Consumables,Delivered,354,21.78,19.47,0,Compliant
PO-00204,GammaTrade,2024-02-22,2024-04-05,Electronics,Delivered,33,566.04,528.51,1,Compliant
PO-00205,DeltaWorks,2023-04-07,,Consumables,Pending,153,19.84,17.88,22,Compliant
PO-00206,BetaCorp,2023-02-08,2023-03-10,Raw Materials,Delivered,183,130.64,122.33,19,Compliant
PO-00207,EpsilonMfg,2022-02-16,2022-03-25,Raw Materials,Delivered,375,121.17,117.11,3,Compliant
PO-00208,BetaCorp,2023-09-20,,Electronics,Pending,211,547.84,515.68,21,Compliant
PO-00209,GammaTrade,2024-04-28,2024-05-24,Consumables,Delivered,260,21.52,19.89,9,Compliant
PO-00210,AlphaSupplies,2023-08-21,2023-08-29,Machinery,Delivered,470,2495.12,2351.15,11,Compliant
PO-00211,EpsilonMfg,2022-08-22,2022-10-01,Consumables,Delivered,308,18.91,17.12,3,Compliant
PO-00212,BetaCorp,2022-02-02,2022-02-10,Packaging,Delivered,368,35.24,32.37,22,Compliant
PO-00213,BetaCorp,2023-05-29,2023-06-08,Machinery,Delivered,481,2451.31,2206.91,47,Compliant
PO-00214,DeltaWorks,2023-01-21,2023-03-03,Consumables,Delivered,98,19.52,18.38,8,Compliant
PO-00215,GammaTrade,2023-05-11,2023-06-06,Consumables,Delivered,136,19.98,19.03,2,Non-Compliant
PO-00216,GammaTrade,2023-12-08,2024-01-19,Packaging,Delivered,172,40.62,36.83,12,Compliant
PO-00217,AlphaSupplies,2023-11-24,2024-01-05,Consumables,Partial,468,20.83,19.19,17,Compliant
PO-00218,GammaTrade,2022-10-22,2022-11-26,Raw Materials,Delivered,50,127.67,112.86,2,Compliant
PO-00219,EpsilonMfg,2023-07-30,2023-09-12,Electronics,Delivered,80,541.87,491.64,0,Compliant
PO-00220,BetaCorp,2022-02-23,2022-03-08,Packaging,Delivered,179,35.39,34.01,17,Compliant
PO-00221,BetaCorp,2023-10-31,2023-11-19,Machinery,Delivered,459,2532.75,2243.51,48,Compliant
PO-00222,AlphaSupplies,2023-10-30,2023-11-08,Raw Materials,Delivered,283,138.12,126.84,10,Compliant
PO-00223,BetaCorp,2024-05-06,2024-05-31,Raw Materials,Delivered,263,143.74,134.3,32,Compliant
PO-00224,AlphaSupplies,2022-10-19,2022-11-26,Electronics,Delivered,338,510.37,474.18,12,Compliant
PO-00225,GammaTrade,2024-04-08,2024-05-01,Packaging,Delivered,93,41.68,40.01,5,Compliant
PO-00226,GammaTrade,2023-11-22,2023-12-24,Consumables,Delivered,99,20.82,18.78,6,Compliant
PO-00227,AlphaSupplies,2022-05-24,2022-06-16,Packaging,Delivered,489,36.07,33.44,7,Compliant
PO-00228,GammaTrade,2023-08-20,2023-09-19,Electronics,Delivered,15,544.27,492.51,0,Compliant
PO-00229,GammaTrade,2023-02-20,2023-03-31,Packaging,Partial,482,38.2,34.7,26,Compliant
PO-00230,GammaTrade,2023-09-22,2023-10-08,Electronics,Delivered,500,548.07,520.72,18,Non-Compliant
PO-00231,EpsilonMfg,2024-02-15,2024-03-08,Machinery,Delivered,350,2590.54,2387.44,4,Compliant
PO-00232,EpsilonMfg,2023-06-25,2023-07-09,Machinery,Delivered,49,2465.31,2235.3,0,Compliant
PO-00233,EpsilonMfg,2022-06-03,2022-06-17,Consumables,Delivered,447,18.59,17.76,6,Compliant
PO-00234,EpsilonMfg,2024-04-08,2024-05-14,Machinery,Delivered,77,2619.66,2527.97,0,Compliant
PO-00235,GammaTrade,2023-02-10,2023-03-26,Raw Materials,Delivered,11,130.7,123.79,0,Compliant
PO-00236,EpsilonMfg,2022-03-12,2022-04-14,Raw Materials,Delivered,251,121.78,107.31,0,Compliant
PO-00237,DeltaWorks,2023-01-27,,Electronics,Pending,479,521.25,484.55,43,Non-Compliant
PO-00238,EpsilonMfg,2023-11-01,2023-12-12,Packaging,Delivered,70,40.3,35.97,0,Compliant
PO-00239,AlphaSupplies,2022-11-02,2022-12-13,Raw Materials,Delivered,378,127.97,118.79,5,Compliant
PO-00240,BetaCorp,2022-07-13,2022-08-04,Electronics,Partial,381,499.94,442.75,43,Compliant
PO-00241,AlphaSupplies,2022-07-31,2022-09-14,Packaging,Delivered,314,36.59,35.27,8,Compliant
PO-00242,AlphaSupplies,2023-03-26,2023-04-05,Machinery,Delivered,121,2418.46,2294.88,0,Non-Compliant
PO-00243,EpsilonMfg,2023-08-15,2023-09-06,Electronics,Delivered,354,543.7,498.14,2,Compliant
PO-00244,BetaCorp,2022-11-04,,Machinery,Pending,295,2347.12,2218.5,36,Non-Compliant
PO-00245,DeltaWorks,2023-05-23,,Consumables,Pending,186,20.03,19.34,29,Non-Compliant
PO-00246,GammaTrade,2023-02-23,2023-04-05,Machinery,Delivered,202,2402.7,2298.42,7,Compliant
PO-00247,BetaCorp,2022-03-01,2022-03-16,Machinery,Delivered,223,2227.54,2048.0,12,Compliant
PO-00248,AlphaSupplies,2024-05-17,2024-06-05,Machinery,Delivered,284,2641.29,2473.83,0,Compliant
PO-00249,AlphaSupplies,2022-07-12,2022-08-23,Raw Materials,Delivered,310,124.96,112.16,2,Compliant
PO-00250,GammaTrade,2022-08-05,2022-09-11,Raw Materials,Delivered,389,125.59,111.24,28,Compliant
